# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
55 Cnc f,Confirmed,0.15,0.0093,0.0219,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,6/11/2017,139,8,8,2451878,5,5,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.91,0.015,0.015,0.94,0.01,0.01,K0IV-V,10.20,2.5,2.5,5196,24,24,,,
6 Lyn b,Confirmed,69.00,66,69,2.4,,,,,,899.00,19,19,2.2,,,0.134,0.052,0.052,2,1,79,0.038664,2008,8/27/2014,27,27,27,2453309,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.90,2.5,2.5,-0.13,0.02,0.02,1.70,0.2,0.2,5.20,0.3,0.3,K0IV,,,,4978,18,18,,,
61 Vir b,Confirmed,0.02,0.0016,0.0016,0.016,0.0016,0.0016,,,,4.22,0.0006,0.0006,0.050201,5.00E-06,5.00E-06,0.12,0.11,0.11,,,,0.005892,2009,12/15/2009,105,54,54,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir c,Confirmed,0.06,0.0035,0.0035,0.0573,0.0035,0.0035,,,,38.02,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,12/15/2009,341,38,38,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir d,Confirmed,0.07,0.008,0.008,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,12/15/2009,314,20,20,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
7 CMa b,Confirmed,2.46,0.14,0.14,2.46,0.14,0.14,,,,796.00,7.4,7.4,1.93,0.01,0.01,0.22,0.07,0.07,,,,0.096203,2011,10/19/2015,77,14,14,2454093,34,34,,,,,,,,,,,,,,,,,,,41.8,2.4,2.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 47205 b,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.30,0.1,0.1,K1 III,,,,4792,100,100,,,
70 Vir b,Confirmed,6.60,,,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,12/29/2010,2.1,2,2,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,70 Vir,202.1083333,13.7866667,5,,,,,22.00,,,-0.11,,,0.92,,,1.97,0.047,0.047,G4 V,7.09,,,5432,,,IR Excess,,HR 117176
75 Cet b,Confirmed,3.00,,,3,,,,,,691.90,3.6,3.6,2.1,,,,,,,,,,2012,9/3/2012,,,,2452213,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,75 Cet,38.0375,-1.035,5.36,,,,,81.50,7.51,7.51,0,0.04,0.04,2.49,0.02,0.27,10.50,1,1,G3III,,,,4846,18,18,,,
8 Umi b,Confirmed,1.50,0.2,0.2,1.5,0.2,0.2,,,,93.40,4.5,4.5,0.49,0.03,0.03,0.06,0.18,0.18,,,,,2015,10/1/2015,91,84.6,84.6,2454108.5,22.8,22.8,,,,,,,,,,,,,,,,,,,46.1,4,4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,8 Umi,224.2,74.90083335,6.83,,,,,159.10,11,11,-0.03,0.02,0.02,1.80,0.1,0.1,9.90,0.4,0.4,K0,1.70,0.2,0.2,4847.4,7.5,7.5,,,
81 Cet b,Confirmed,5.30,,,5.3,,,,,,952.70,8.8,8.8,2.5,,,0.206,0.029,0.029,,,,0.02572,2008,8/27/2014,175,6.9,6.9,2452486,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,81 Cet,39.425,-3.3961111,5.65,,3.94,3.38,3.27,97.20,9.2,9.2,-0.06,0.03,0.03,2.40,0.4,0.4,11.00,0.1,0.1,G5III,,,,,,,,,
91 Aqr b,Confirmed,3.20,,,3.2,,,,,,181.40,0.1,0.1,0.7,,,0.027,0.026,0.026,,,,0.006593,2003,8/21/2015,177.3,0.8,0.8,2453472.1,24,24,,,,,,,,,,,,,,,,,,,91,2.3,2.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,91 Aqr,348.9708333,-9.0875,4.21,,,,,45.90,0.6,0.6,-0.03,0.1,0.1,1.40,0.1,0.1,11.00,0.1,0.1,K0 III,3.56,0.63,0.63,4665,18,18,,,
AB Pic b,Confirmed,13.50,0.5,0.5,,,,,,,,,,275,,,,,,,,,5.813953,2005,12/6/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.30,1.8,1.8,-0.64,,,,,,,,,K2 V,0.03,,,4875,,,,,
AS 205 A b,Confirmed,19.25,1.96,1.96,19.25,1.96,1.96,,,,24.84,0.03,0.03,0.162,0.04,0.04,0.35,0.06,0.06,,,,,2017,6/8/2017,94.14,7.67,7.67,,,,,,,,,,,,,,,,,,,,,,1529,160,160,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,AS 205A,242.8791667,-18.6402778,12.4,,,,,140.00,,,0,0.5,0.5,0.90,,,3.70,,,K5,,,,4300,300,300,,,V866 Sco
Aldebaran b,Confirmed,6.47,0.53,0.53,6.47,0.53,0.53,,,,628.96,0.9,0.9,1.46,0.27,0.27,0.1,0.05,0.05,,,,0.1,1998,5/15/2015,287,29,29,2451297,50,50,,,,,,,,,,,,,,,,,,,142.1,7.2,7.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Aldebaran,68.9791667,16.5091667,0.85,,,,,20.43,0.32,0.32,-0.27,0.05,0.05,1.13,0.11,0.11,45.10,0.1,0.1,K5III,6.60,2.4,2.4,4055,70,70,,,alf Tau
BD+03 2562 b,Confirmed,6.40,1.3,1.3,6.4,1.3,1.3,,,,481.90,2.8,2.7,1.3,0.1,0.1,0.2,0.08,0.12,,,,,2017,6/30/2017,218,26,32,2453726,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+03 2562,177.5648029,2.760131134,9.58,,,,,2618.00,564,564,-0.71,0.09,0.09,1.14,0.25,0.25,32.35,8.82,8.82,,5.25,2,2,4095,20,20,,,
BD+14 4559 b,Confirmed,1.47,,,1.47,,,,,,268.94,0.99,0.99,0.777,,,0.29,0.03,0.03,,,,0.01554,2009,2/23/2016,87.64,7.87,7.87,2453294.21,6.35,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+14 4559,318.4,14.6894444,9.63,,,,,50.00,4,4,0.1,0.07,0.07,0.86,0.15,0.15,,,,K2V,,,,5008,20,20,,,
BD+15 2375 b,Confirmed,1.06,0.27,0.27,1.06,0.27,0.27,,,,153.22,0.44,0.44,0.576,0.027,0.027,0.001,0.001,0.25,,,,,2016,3/21/2016,55,17,240,2457680,630,700,,,,,,,,,,,,,,,,,,,38.3,1,2.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+15 2375,176.4833334,14.61638891,10.3,,,,,774.00,165,165,-0.22,0.08,0.08,1.08,0.14,0.14,8.95,1.45,1.45,,7.40,,,4649,30,30,,,
BD+15 2940 b,Confirmed,1.11,,,1.11,,,,,,137.48,0.34,0.34,0.539,,,0.26,0.1,0.1,,,,,2013,4/30/2013,302,33,33,2453464,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+15 2940,240.0958,15.5469,9.19,,,,,585.00,455,455,0.28,0.07,0.07,1.10,0.2,0.2,14.70,2.8,2.8,K0,7.10,4.2,4.2,4796,117,117,,,
BD+20 1790 b,Confirmed,6.37,1.35,1.35,6.37,1.35,1.35,,,,7.78,0.00076,0.00077,0.066,0.006,0.006,0.22,0.09,0.07,,,,0.002598,2009,5/4/2017,200.4,21.8,21.8,3085.8,0.5,0.5,,,,,,,,,,,,,,,,,,,905,94,93,,,,,,,,,,Announced on a professional conference,Other,,,,,BD+20 1790,110.9333333,20.4141667,9.93,,,,,25.40,4,4,0.3,0.2,0.2,0.63,0.09,0.09,0.71,0.03,0.03,K5V,0.06,0.023,0.023,4410,,,,Yes,
BD+20 2457 b,Confirmed,21.42,,,21.42,,,,,,379.63,2.01,2.01,1.45,,,0.15,0.03,0.03,,,,0.00725,2009,2/23/2016,207.64,21.99,21.99,2454677.53,28.19,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,200.00,100,100,-1,0.07,0.07,2.80,1.5,1.5,,,,K2II,,,,4127,17,17,,,
BD+20 2457 c,Confirmed,12.47,,,12.47,,,,,,621.99,10.2,10.2,2.01,,,0.18,0.06,0.06,,,,0.01005,2009,2/23/2016,126.02,16.54,16.54,2453867.45,27.99,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,200.00,100,100,-1,0.07,0.07,2.80,1.5,1.5,,,,K2II,,,,4127,17,17,,,
BD+20 274 c,Confirmed,4.20,,,4.2,,,,,,578.20,3.4,3.4,1.3,,,,,,,,,,2012,1/17/2013,,,,2453920.5,33.2,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 274,25.9208333,21.005,9.36,,,,,,,,-0.46,0.07,0.07,0.80,0.2,0.2,17.30,0.9,0.9,K5,,,,4296,10,10,,,
BD+20 594 b,Confirmed,0.05,0.019,0.019,0.0513,0.019,0.019,0.20,0.0098,0.012,41.69,0.0031,0.0031,0.241,0.019,0.019,0,,,89.55,0.14,0.17,,2016,2/23/2016,,,,,,,,,,2457151.902,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,BD+20 594,53.65000001,20.59916669,11,,,,,152.10,7.4,9.7,-0.15,0.05,0.05,0.96,0.029,0.032,0.93,0.04,0.055,K0 ,3.34,1.49,1.95,5766,99,99,,,2MASS 03343623+2035574
BD+24 4697 b,Confirmed,53.00,3,3,53,3,3,,,,145.08,0.016,0.016,0.5,0.08,0.08,0.50048,0.00043,0.00043,,,,,2016,2/10/2016,66.35,0.09,0.09,2455986.042,0.037,0.037,,,,,,,,,,,,,,,,,,,2728.4,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+24 4697,345.4125,25.78805558,9.74,,,,,48.80,,,-0.11,0.02,0.02,0.75,0.05,0.05,,,,,,,,5077,32,32,,,
BD+26 1888 b,Confirmed,26.00,2,2,26,2,2,,,,536.78,0.25,0.25,1.19,0.05,0.05,0.2675,0.0016,0.0016,,,,,2016,2/10/2016,1.3,0.7,0.7,2456548.3,0.9,0.9,,,,,,,,,,,,,,,,,,,805.1,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+26 1888,135.6291667,25.88944447,9.76,,,,,38.00,,,0.02,0.04,0.04,0.76,0.08,0.08,,,,K7,,,,4748,87,87,,,
BD+48 738 b,Confirmed,0.91,,,0.91,,,,,,392.60,5.5,5.5,1,,,0.2,0.1,0.1,,,,,2011,2/23/2016,358.9,31.1,31.1,2454457.2,28.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD +48 738,40.7083333,49.5869444,9.14,,,,,,,,-0.2,0.07,0.07,0.74,0.39,0.39,11.00,1,1,K0III,,,,4414,15,15,,,
BD+49 828 b,Confirmed,1.60,0.2,0.4,1.6,0.2,0.4,,,,2590.00,180,300,4.2,0.2,0.32,0.35,0.1,0.24,,,,,2015,7/26/2015,170,32,32,2455470,170,200,,,,,,,,,,,,,,,,,,,18.8,2,6.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+49 828,45.64166668,49.73000003,9.38,,,,,,,,-0.19,0.06,0.06,1.52,0.22,0.22,7.60,1.3,1.3,KO,2.30,,,4943,30,30,,,
BD-06 1339 b,Confirmed,0.03,0.004,0.004,0.027,0.004,0.004,,,,3.87,0.0004,0.0004,0.0428,0.0007,0.0007,0,,,,,,,2013,5/4/2017,,,,2455220.5,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,GJ 221 b,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.00,1,1,-0.14,0.17,0.17,0.70,,,,,,K7V/M0V,4.40,4,4,4324,100,100,,,GJ 221
BD-06 1339 c,Confirmed,0.17,0.03,0.03,0.17,0.03,0.03,,,,125.94,0.44,0.44,0.435,0.007,0.007,0,,,,,,,2013,5/4/2017,,,,2455264.2,17.6,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,GJ 221 c,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.00,1,1,-0.14,0.17,0.17,0.70,,,,,,K7V/M0V,4.40,4,4,4324,100,100,,,GJ 221
BD-06 1339 d,Confirmed,0.09,0.063,0.057,0.091,0.063,0.057,,,,500.00,26,32,1.06,0.07,0.07,0.04,0.04,0.25,,,,,2014,5/4/2017,275,85,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 221 d,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.00,1,1,-0.14,0.17,0.17,0.70,,,,,,K7V/M0V,4.40,4,4,4324,100,100,,,GJ 221
BD-08 2823 b,Confirmed,0.05,0.007,0.007,0.045,0.007,0.007,,,,5.60,0.02,0.02,0.056,0.002,0.002,0.15,0.15,0.15,,,,0.001327,2009,2/23/2016,30,100,100,2454637.7,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD-08 2823,150.2,-9.5166667,9.86,,,,,42.20,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4.50,4,4,4746,63,63,,,
BD-08 2823 c,Confirmed,0.33,0.03,0.03,0.33,0.03,0.03,,,,237.60,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,,,,0.016114,2009,2/23/2016,127,21,21,2454193,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD-08 2823,150.2,-9.5166667,9.86,,,,,42.20,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4.50,4,4,4746,63,63,,,
BD-10 3166 b,Confirmed,0.46,,,0.46,,,1.03,,,3.49,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000,2/24/2015,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66.00,,,0.5,,,0.99,,,1.71,,,G4 V,4.18,,,5400,,,,,
BD-11 4672 b,Confirmed,0.53,0.05,0.05,0.53,0.05,0.05,,,,1667.00,33,33,2.28,0.07,0.07,0.05,0.05,0.05,,,,0.091575,2010,2/23/2016,,,,2455899,38,46,,,,,,,,,,,,,,,,,,,13.4,1,1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD-11 4672,278.3708333,-11.63611113,10.02,,,,,27.30,1.3,1.3,-0.48,0.05,0.05,0.57,0.014,0.014,0.52,0.02,0.02,K7V,4.40,4,4,4475,100,100,,,
BD-17 63 b,Confirmed,5.10,0.12,0.12,5.1,0.12,0.12,,,,655.60,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,,,,0.038728,2008,8/27/2014,112.2,1.9,1.9,2454627.1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.60,1.5,1.5,-0.03,0.06,0.06,0.74,0.03,0.03,0.69,,,K5V,4.30,4,4,4714,93,93,,,
CD-35 2722 b,Confirmed,31.00,8,8,,,,,,,,,,67,4,4,,,,,,,3.14554,2011,2/23/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.33004292,-35.82533225,10.98,,,,,21.30,1.4,1.4,0.04,0.5,0.5,0.40,0.05,0.05,,,,M1V,0.10,0.05,0.05,3680,100,100,,,
CFBDS 1458 ,Confirmed,25.20,14.8,14.8,,,,,,,,,,,,,,,,,,,,2010,3/9/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,100,100,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,CFBDS 1458,224.6208333,10.2286111,,,19.86,20.18,20.63,31.90,2.4,2.8,,,,0.02,0.016,0.016,,,,T9.5,3.00,2,2,560,100,100,,,
CFBDS 1458 b,Confirmed,10.50,4.5,4.5,,,,,,,14227.00,8600,8600,2.6,0.3,0.3,,,,,,,0.112554,2011,3/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDS 1458,224.6208333,10.2286111,,,19.86,20.18,20.63,31.90,2.4,2.8,,,,0.02,0.016,0.016,,,,T9.5,3.00,2,2,560,100,100,,,
CFBDSIR J2149-0403,Confirmed,21.00,19,19,,,,,,,,,,,,,,,,,,,,2017,6/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDSIR J2149-0403,327.4466667,-4.052472225,,,,,,55.20,5.4,5.4,,,,,,,,,,T7,,,,,,,,,
CHXR 73 b,Confirmed,12.00,5,8,,,,,,,,,,200,,,,,,,,,,2006,5/25/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,,,,,0.35,0,0,,,,M3.25,0.00,,,,,,,,
CI Tau b,Confirmed,12.31,2.39,2.39,,,,,,,9.00,0.0327,0.0327,,,,,,,45.7,1.1,1.1,,2016,3/7/2017,,,,,,,,,,,,,,,,,,,,,,,,,1084,250,250,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,CI Tau,68.46666668,22.84166669,13,,,,,,,,,,,0.80,0.02,0.02,,,,K4IV,0.00,,,,,,,,
CT Cha b,Confirmed,17.00,6,6,,,,2.20,0.6,0.6,,,,440,,,,,,,,,2.666667,2008,9/24/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165.00,30,30,,,,,,,,,,K7,0.00,0.002,0.002,,,,,,
CVSO 30 b ,Confirmed,6.20,1.7,1.9,5.5,1.4,1.4,1.91,0.21,0.21,0.45,4.00E-05,4.00E-05,0.00838,0.00072,0.00072,,,,61.8,3.7,3.7,2.50E-05,2012,6/12/2016,,,,,,,,,,2455543.94,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,PTFO 8-8695 b,,CVSO 30,81.2833333,1.5733333,16.26,,,,,330.00,0,0,,,,0.39,0.05,0.05,1.39,,,M3 PMS,0.00,3.00E-05,3.00E-05,3740,,,,,PTFO 8-8695
CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.51,6.40E-06,6.40E-06,0.0254,0.0004,0.0004,0,,,85.1,0.5,0.5,5.50E-05,2007,1/24/2014,,,,,,,,,,2454159.453,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460.00,100,100,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298,66,66,,,
CoRoT-10 b,Confirmed,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.24,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,8/29/2014,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.344,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345.00,50,50,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3.00,inf,nan,5075,75,75,,,
CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.99,2.10E-05,2.10E-05,0.04351,0.00036,0.00036,0,,,81.41,0.17,0.17,7.80E-05,2010,8/17/2014,,,,,,,,,,2454597.68,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.00,30,30,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2.00,1,1,6343,72,72,,,
CoRoT-12 b,Confirmed,0.92,0.065,0.07,,,,1.44,0.13,0.13,2.83,1.30E-05,1.30E-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.50E-05,2010,8/16/2014,105,27,27,,,,,,,2454398.627,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.00,85,85,0.16,0.1,0.1,1.08,0.072,0.072,1.12,0.092,0.092,G2V,6.30,3.1,3.1,5675,80,80,,,
CoRoT-13 b,Confirmed,1.31,0.066,0.066,,,,0.89,0.014,0.014,4.04,3.00E-05,3.00E-05,0.051,0.0031,0.0031,0,,,88.02,0.036,0.036,3.90E-05,2010,8/16/2014,,,,,,,,,,2454790.809,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310.00,100,100,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945,90,90,,,
CoRoT-14 b,Confirmed,7.60,0.6,0.6,,,,1.09,0.07,0.07,1.51,0.00013,0.00013,0.027,0.002,0.002,0,,,79.6,0.8,0.8,2.00E-05,2010,1/24/2014,,,,2454787.67,,,,,,2454787.669,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340.00,110,110,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.20,3.8,3.8,6035,100,100,,,
CoRoT-15 b,Confirmed,63.40,4.1,4.33,63.3,4,4,1.12,0.15,0.3,3.06,3.00E-05,3.00E-05,0.045,0.01,0.014,0,,,86.7,3.2,2.3,,2010,9/23/2015,,,,,,,,,,2454753.561,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-15,97.11666668,6.186241673,,,,,,,,,,,,,,,,,,F7V,,,,,,,,,2MASS J06282781+0611105
CoRoT-16 b,Confirmed,0.54,0.085,0.085,,,,1.17,0.14,0.14,5.35,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.40E-05,2010,1/24/2014,168.41,21,21,,,,,,,2454923.914,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840.00,90,90,0.19,0.06,0.06,1.10,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650,100,100,,,
CoRoT-17 b,Confirmed,2.43,0.16,0.16,,,,1.02,0.07,0.07,3.77,0.000257,0.000257,0.0461,0.0008,0.0008,0,,,88.34,1.54,1.54,5.00E-05,2010,1/24/2014,,,,,,,,,,2454923.309,0.003613,0.003613,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920.00,50,50,0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,G2V,10.70,1,1,5740,80,80,,,
